nmId,rank,revenue,price,units,rating,comments,salesPerDay,brand,name
237194752,1,107095355,1150,83285,5,26263,915,"","Рубашка оверсайз прозрачная летняя"
895767631,2,85886837,720,62235,5,6599,684,"Meniki Wear","Рубашка летняя прозрачная"
783316046,3,66138435,980,57481,5,3455,632,"AklSon","Рубашка прозрачная оверсайз"
789275058,4,52125591,1224,34694,5,2233,381,"","Рубашка оверсайз прозрачная летняя"
34663958,5,50669609,1415,46126,5,5920,507,"Say Love","Рубашка летняя из хлопка с объемными рукавами"
328892062,6,49667039,1411,43662,5,9234,480,"SYRGISHOPP","Рубашка в клетку оверсайз удлиненная на весну и лето"
783325094,7,49161844,980,38917,5,2256,428,"AklSon","Рубашка прозрачная оверсайз"
205764778,8,47835876,1833,30286,5,14882,333,"IMPERIA SECRET","Рубашка больших размеров летняя на пуговицах офисная"
783411514,9,46867644,840,35813,5,1766,394,"AklSon","Рубашка прозрачная оверсайз"
783328173,10,45763214,980,34600,5,2289,380,"AklSon","Рубашка оверсайз прозрачная"
783414677,11,43999339,875,32796,5,1656,360,"AklSon","Рубашка прозрачная оверсайз"
297675127,12,43274228,1700,22998,5,6883,253,"DEN EMOTION","Летняя голубая рубашка в полоску оверсайз как из PINTEREST"
232164988,13,42869100,909,31828,5,6842,350,"UVA style","Рубашка блузка летняя оверсайз марлевка"
820249117,14,42079324,3454,12233,5,1439,134,"VIVA VEA","Рубашка льняная летняя с коротким рукавом"
724632121,15,40584456,967,34832,5,3716,383,"PREMIUM B","Рубашка оверсайз летняя хлопок"
757948367,16,39534482,1691,22050,5,2157,242,"Galala","Футболка поло оверсайз"
341037561,17,39072690,1173,27515,5,3210,302,"","Рубашка оверсайз прозрачная летняя"
317965299,18,37792806,1648,23644,5,3618,260,"Zella","Рубашка летняя легкая туника парео пляжное хлопок100%"
725085765,19,37113248,1542,28228,5,15841,310,"StaRoSta","Рубашка школьная оверсайз"
895784726,20,36601052,900,24428,5,1766,268,"Meniki Wear","Рубашка летняя прозрачная"
297181520,21,35926575,1157,23395,5,10704,257,"DEN EMOTION","Летняя рубашка в клетку oversize как из PINTEREST"
237194753,22,35687393,1224,24077,5,5523,265,"","Рубашка оверсайз прозрачная летняя"
13894376,23,35539416,1548,34284,5,73375,377,"Malozemoff","Рубашка офисная школьная"
895784725,24,34257343,900,27780,5,1756,305,"Meniki Wear","Рубашка летняя прозрачная"
494807118,25,33508599,1761,15901,5,1476,175,"ilookhome","Рубашка в полоску оверсайз для офиса и школы"
390492645,26,30515436,2959,10200,5,2257,112,"Feel Fine","Льняная рубашка летняя оверсайз Old Money"
502610920,27,30276645,2457,11990,5,23944,132,"Apparelle","Рубашка в полоску оверсайз хлопок"
160987536,28,29612791,989,37269,5,19373,410,"ТЫСЯЧА СТОЛИЦ","Блузка летняя кружевная хлопок"
111685985,29,28075430,2223,14622,5,6180,161,"Baleroshka","Блузка школьная нарядная с длинным рукавом"
171241228,30,27467302,2028,15696,5,24025,172,"ТЫСЯЧА СТОЛИЦ","Рубашка приталенная офисная школьная"
10147914,31,27065999,440,61575,5,120255,677,"A-A Awesome Apparel by Ksenia Avakyan","Блузка белая с коротким рукавом"
895784728,32,26406376,900,17641,5,1160,194,"Meniki Wear","Рубашка летняя прозрачная"
317965436,33,25814920,1957,13604,5,1865,149,"Zella","Рубашка летняя туника пляжное легкое парео 100% вискоза"
324949318,34,25525441,1468,19405,5,9739,213,"mgnovenie","Рубашка летняя легкая оверсайз"
467086491,35,25341530,1157,14077,5,3174,155,"DEN EMOTION","Осенняя сиреневая рубашка в клетку оверсайз как из PINTEREST"
473155591,36,25287627,1129,15886,5,2198,175,"DEN EMOTION","Рубашка летняя в клетку оверсайз бежевая"
39565985,37,24938120,2001,16532,5,144210,182,"Say Love","Рубашка оверсайз офисная блузка школьная"
227781398,38,24569938,1860,9635,5,15247,106,"AIDEMIKO","Рубашка летняя из муслина оверсайз"
433678799,39,24040217,1407,15105,5,4264,166,"Purrr","Блузка бохо из муслина"
895784727,40,23771791,900,15941,5,1060,175,"Meniki Wear","Рубашка летняя прозрачная"
317965435,41,23494310,1906,12885,5,1951,142,"Zella","Рубашка летняя туника пляжное легкое парео 100% вискоза"
789256100,42,23424080,1224,16495,5,1092,181,"","Рубашка оверсайз прозрачная летняя"
494807116,43,23154043,1761,11752,5,1016,129,"ilookhome","Рубашка в полоску оверсайз для офиса и школы"
219401072,44,23076346,1984,8952,5,15247,98,"AIDEMIKO","Рубашка летняя из муслина оверсайз"
160450144,45,22695277,2195,11889,5,5165,131,"Baleroshka","Блузка школьная нарядная с длинными рукавами"
789256099,46,22580765,1224,15428,5,1305,170,"","Рубашка оверсайз прозрачная летняя"
400519206,47,22571868,1432,13188,5,3944,145,"INLITE","Рубашка в клетку оверсайз"
770520523,48,22221577,2310,13677,5,2926,150,"PREMIUM B","Рубашка на запах в полоску"
1008127000,49,21793662,735,16504,5,675,181,"AklSon","Рубашка прозрачная оверсайз"
179331048,50,21378228,1548,18962,5,31349,208,"Malozemoff","Рубашка классическая приталенная офисная школьная"
317965456,51,21376829,1648,13606,5,3897,150,"Zella","Рубашка летняя легкая туника парео пляжное хлопок100%"
327286708,52,21341954,1387,12634,5,12048,139,"ТЫСЯЧА СТОЛИЦ","Блузка летняя с коротким рукавом"
1066755968,53,21012080,1879,12150,5,1926,134,"LallyRose","Рубашка в полоску оверсайз"
313560644,54,20895471,2243,10597,5,10263,116,"VIVA VEA","Блузка летняя с коротким рукавом для школы и офиса"
418583488,55,20713041,2246,10030,5,1660,110,"IHOMELUX","Блузка больших размеров с коротким рукавом"
176252338,56,20516288,2457,8421,5,24065,93,"Apparelle","Рубашка оверсайз в полоску"
789279836,57,20358517,1224,13860,5,819,152,"","Рубашка оверсайз прозрачная летняя"
694695755,58,20306115,2310,13758,5,2926,151,"PREMIUM B","Рубашка на запах в полоску"
435474874,59,19964008,1404,13495,5,2615,148,"Purrr","Рубашка укороченная оверсайз без воротника"
317965454,60,19556684,1493,12916,5,5119,142,"Zella","Рубашка летняя легкая туника парео пляжное хлопок100%"
324949319,61,19392253,1374,14149,5,9739,155,"mgnovenie","Рубашка летняя легкая оверсайз"
916246183,62,19249809,1946,8243,5,1040,91,"TIHEYA","Рубашка летняя льняная оверсайз"
816838643,63,18551985,2694,6625,5,2781,73,"KM STYLE","Блузка рубашка нарядная стильная с рукавами фонариками"
238368363,64,18397463,1176,20526,5,13910,226,"ТЫСЯЧА СТОЛИЦ","Блузка нарядная кружевная"
